	observed_otus
11757.G445224464	101
11757.G440606455	140
11757.G441303594	101
11757.G440104506	87
11757.G440981123	151
11757.G440282123	76
11757.G440883533	134
11757.G441303073	82
11757.G445302293	82
11757.G441502536	154
11757.G441802644	125
11757.G440205552	122
11757.G440305292	93
11757.G445224183	44
11757.G441284625	96
11757.G441802598	74
11757.G440305347	139
11757.G445224056	106
11757.G440205487	59
11757.G440282511	98
11757.G440981511	124
11757.G445302346	49
11757.G440104134	94
11757.G441802276	51
11757.G441303441	77
11757.G440205369	85
11757.G441502104	86
11757.G441284217	70
11757.G440883308	127
11757.G440606580	115
11757.G440205160	45
11757.G441424214	103
11757.G440282148	81
11757.G440981148	117
11757.G445224606	56
11757.G440305517	71
11757.G440981341	68
11757.G441802426	102
11757.G440104283	100
11757.G441424444	105
11757.G440883558	62
11757.G440606205	89
11757.G445224234	109
11757.G440305125	101
11757.G440104356	53
11757.G445302124	55
11757.G440883363	163
11757.G441303623	75
11757.G441802014	113
11757.G440981294	120
11757.G440282294	114
11757.G441424076	95
11757.G440205302	102
11757.G441284075	105
11757.G440883410	87
11757.G440606298	142
11757.G441502415	77
11757.G441303359	137
11757.G440883619	122
11757.G440205471	89
11757.G441802089	72
11757.G440282209	67
11757.G440981209	96
11757.G440305656	83
11757.G445224547	164
11757.G440205196	78
11757.G440606576	91
11757.G441802280	108
11757.G445302657	69
11757.G440104425	102
11757.G441303562	65
11757.G440883022	99
11757.G441802355	100
11757.G440205043	88
11757.G441424337	148
11757.G441284334	53
11757.G440305264	108
11757.G445224175	56
11757.G445302265	106
11757.G440104017	133
11757.G440981432	96
11757.G440282432	74
11757.G441303332	119
11757.G441424567	143
11757.G441284564	73
11757.G440305434	90
11757.G441424080	78
11757.G441284083	60
11757.G440883395	58
11757.G445302435	82
11757.G441424289	132
11757.G440981262	105
11757.G440282262	122
11757.G441802137	110
11757.G441502245	81
11757.G440205028	98
11757.G440883240	78
11757.G441284156	87
11757.G441424155	82
11757.G440883049	91
11757.G440282459	117
11757.G440981459	99
11757.G440606326	103
11757.G445224317	83
11757.G440305006	91
11757.G440104275	74
11757.G445302007	112
11757.G440305308	103
11757.G445302100	110
11757.G440606028	78
11757.G440104372	130
11757.G445224210	123
11757.G445302309	98
11757.G440305101	136
11757.G441284051	118
11757.G441802239	96
11757.G440205326	71
11757.G441424052	101
11757.G440883347	94
11757.G441502297	122
11757.G440883292	54
11757.G440981365	130
11757.G445224622	169
11757.G440305533	156
11757.G441424187	120
11757.G440606613	106
11757.G440104549	35
11757.G441284184	111
11757.G441502579	93
11757.G441424460	128
11757.G441284463	86
11757.G441802402	58
11757.G441303182	105
11757.G445302362	61
11757.G440282535	77
11757.G440104319	69
11757.G440305363	90
11757.G445224072	127
11757.G440305684	87
11757.G441424230	114
11757.G441502329	120
11757.G445224595	81
11757.G440205144	59
11757.G441284233	68
11757.G441424039	51
11757.G441502120	141
11757.G440883125	140
11757.G441802252	110
11757.G440282107	87
11757.G440981107	149
11757.G441802387	94
11757.G440104522	109
11757.G440205298	97
11757.G440305558	132
11757.G440205091	97
11757.G440606471	144
11757.G445302559	152
