	shannon
11757.G445224464	4.4996302539201745
11757.G440606455	5.551386136765259
11757.G441303594	4.810040008393029
11757.G440104506	3.8535491769981034
11757.G440981123	5.746890804520427
11757.G440282123	2.9232530317552463
11757.G440883533	5.085960445308848
11757.G441303073	4.346182787676032
11757.G445302293	4.02583501869387
11757.G441502536	5.14827620844779
11757.G441802644	4.8250522863669065
11757.G440205552	3.9290130764664712
11757.G440305292	4.6686375563942395
11757.G445224183	1.7698607031794091
11757.G441284625	4.856595952614169
11757.G441802598	2.4095375154370093
11757.G440305347	5.461288396645901
11757.G445224056	4.346250576148764
11757.G440205487	3.5988567274077874
11757.G440282511	4.058979940522327
11757.G440981511	5.6105547623297545
11757.G445302346	2.8292503804188933
11757.G440104134	4.404460319270856
11757.G441802276	1.4605488286850639
11757.G441303441	3.333834855667106
11757.G440205369	3.6737062476311024
11757.G441502104	4.496721174579064
11757.G441284217	3.5939837451641723
11757.G440883308	5.153470115153854
11757.G440606580	4.717820872512804
11757.G440205160	2.6182357991714555
11757.G441424214	4.687773263047524
11757.G440282148	4.054028800845529
11757.G440981148	4.986733456283607
11757.G445224606	2.999632819029794
11757.G440305517	2.6223088147523845
11757.G440981341	2.3923456271581895
11757.G441802426	5.005599976777027
11757.G440104283	4.817432990077898
11757.G441424444	5.12429417657125
11757.G440883558	3.022041857717461
11757.G440606205	4.270722064936158
11757.G445224234	4.605040503524537
11757.G440305125	4.482972563037294
11757.G440104356	3.336592873755137
11757.G445302124	3.6431714530234154
11757.G440883363	5.195260965002292
11757.G441303623	4.059321911263924
11757.G441802014	4.755505046327346
11757.G440981294	4.940302502275247
11757.G440282294	4.8776508550757125
11757.G441424076	4.687880128121853
11757.G440205302	3.6581861676710274
11757.G441284075	3.988602210935272
11757.G440883410	4.4184147940609755
11757.G440606298	5.653657818188843
11757.G441502415	2.839518700021667
11757.G441303359	5.448863134169473
11757.G440883619	5.046287410551253
11757.G440205471	4.836106574073854
11757.G441802089	3.4954654792890008
11757.G440282209	4.441267576425275
11757.G440981209	4.167415655136554
11757.G440305656	4.285109400580501
11757.G445224547	5.871942310222284
11757.G440205196	3.9424784142311258
11757.G440606576	3.6675327794165153
11757.G441802280	4.3731254412810925
11757.G445302657	3.8218442411480433
11757.G440104425	4.744409719400726
11757.G441303562	3.8160975928366425
11757.G440883022	4.704026209637138
11757.G441802355	4.844189515244478
11757.G440205043	3.1795274045386086
11757.G441424337	5.159936314394042
11757.G441284334	2.471393181468157
11757.G440305264	4.638158143654535
11757.G445224175	2.9608798628951396
11757.G445302265	5.17386519885353
11757.G440104017	5.0453000964866375
11757.G440981432	4.398191583751095
11757.G440282432	3.6951912214028577
11757.G441303332	5.0129263540310935
11757.G441424567	5.308412895703512
11757.G441284564	3.642918760374704
11757.G440305434	3.9381518746616897
11757.G441424080	3.536786630297236
11757.G441284083	2.4783731712928048
11757.G440883395	1.9661397667015417
11757.G445302435	4.347983711289223
11757.G441424289	5.747070012008797
11757.G440981262	4.593141426333272
11757.G440282262	5.070652764120066
11757.G441802137	4.154876675497553
11757.G441502245	3.0270330506762937
11757.G440205028	4.459595918703153
11757.G440883240	3.931168071307785
11757.G441284156	3.547581913345174
11757.G441424155	3.8499294195317164
11757.G440883049	4.270112049659536
11757.G440282459	5.02182032204648
11757.G440981459	4.796567495869651
11757.G440606326	4.853743206690796
11757.G445224317	3.7649315059043666
11757.G440305006	4.649857065218755
11757.G440104275	3.641683559081187
11757.G445302007	4.22694185858021
