	observed_otus
11993.MI228H	84
11993.MI015H	107
11993.MI388H	83
11993.MI070H	112
11993.MI287H	139
11993.MI327H	106
11993.MI342H	157
11993.MI131H	68
11993.MI091H	139
11993.MI154H	111
11993.MI369H	45
11993.MI203H	129
11993.MI266H	184
11993.MI238H	134
11993.MI398H	130
11993.MI005H	114
11993.MI060H	63
11993.MI412H	104
11993.MI297H	70
11993.MI337H	129
11993.MI352H	95
11993.MI439H	136
11993.MI081H	164
11993.MI144H	143
11993.MI213H	84
11993.MI276H	136
11993.MI208H	111
11993.MI195H	104
11993.MI035H	116
11993.MI050H	102
11993.MI307H	105
11993.MI447H	112
11993.MI111H	192
11993.MI409H	109
11993.MI174H	137
11993.MI349H	158
11993.MI223H	128
11993.MI383H	147
11993.MI246H	157
11993.MI185H	139
11993.MI218H	86
11993.MI025H	91
11993.MI040H	122
11993.MI317H	110
11993.MI372H	85
11993.MI419H	158
11993.MI101H	168
11993.MI164H	159
11993.MI359H	71
11993.MI233H	114
11993.MI393H	89
11993.MI256H	136
11993.MI055H	121
11993.MI030H	66
11993.MI190H	89
11993.MI367H	114
11993.MI442H	111
11993.MI302H	174
11993.MI427H	160
11993.MI171H	84
11993.MI329H	171
11993.MI114H	123
11993.MI289H	100
11993.MI243H	144
11993.MI386H	93
11993.MI226H	84
11993.MI045H	126
11993.MI278H	143
11993.MI020H	144
11993.MI180H	121
11993.MI377H	146
11993.MI452H	56
11993.MI312H	167
11993.MI437H	127
11993.MI161H	97
11993.MI339H	99
11993.MI299H	123
11993.MI104H	122
11993.MI253H	139
11993.MI396H	99
11993.MI236H	137
11993.MI075H	139
11993.MI248H	53
11993.MI010H	124
11993.MI347H	113
11993.MI322H	91
11993.MI282H	151
11993.MI449H	153
11993.MI151H	117
11993.MI309H	124
11993.MI094H	85
11993.MI134H	125
11993.MI263H	112
11993.MI206H	103
11993.MI065H	124
11993.MI258H	116
11993.MI357H	96
11993.MI332H	151
11993.MI292H	102
11993.MI417H	119
11993.MI141H	129
11993.MI459H	112
11993.MI084H	120
11993.MI319H	102
11993.MI124H	125
11993.MI273H	32
11993.MI216H	126
11993.MI308H	106
11993.MI095H	136
11993.MI135H	107
11993.MI150H	136
11993.MI207H	119
11993.MI262H	128
11993.MI011H	112
11993.MI074H	125
11993.MI249H	106
11993.MI323H	153
11993.MI283H	157
11993.MI406H	63
11993.MI346H	109
11993.MI085H	109
11993.MI318H	121
11993.MI125H	127
11993.MI140H	137
11993.MI458H	110
11993.MI217H	100
11993.MI001H	159
11993.MI064H	136
11993.MI259H	99
11993.MI333H	79
11993.MI416H	190
11993.MI293H	151
11993.MI356H	165
11993.MI328H	155
11993.MI115H	112
11993.MI288H	147
11993.MI170H	119
11993.MI227H	104
11993.MI242H	80
11993.MI031H	136
11993.MI191H	119
11993.MI054H	84
11993.MI269H	90
11993.MI303H	105
11993.MI426H	94
11993.MI366H	71
11993.MI338H	127
11993.MI298H	180
11993.MI105H	135
11993.MI160H	164
11993.MI397H	92
11993.MI237H	113
11993.MI252H	28
11993.MI021H	150
11993.MI181H	168
11993.MI044H	152
11993.MI279H	103
11993.MI313H	51
11993.MI436H	74
11993.MI376H	110
11993.MI453H	152
11993.MI175H	163
11993.MI348H	164
11993.MI110H	90
11993.MI408H	143
11993.MI247H	96
11993.MI222H	52
11993.MI382H	77
11993.MI051H	105
11993.MI209H	92
11993.MI194H	64
11993.MI034H	117
11993.MI446H	137
11993.MI363H	88
11993.MI423H	153
11993.MI306H	97
11993.MI165H	110
11993.MI358H	98
11993.MI418H	145
11993.MI100H	151
11993.MI257H	107
11993.MI232H	114
11993.MI392H	124
11993.MI041H	128
11993.MI184H	147
11993.MI219H	53
11993.MI024H	121
11993.MI456H	179
11993.MI373H	134
11993.MI433H	123
11993.MI316H	98
11993.MI155H	109
11993.MI368H	125
11993.MI130H	117
11993.MI090H	134
11993.MI267H	156
11993.MI202H	109
11993.MI071H	116
11993.MI229H	104
11993.MI014H	134
11993.MI389H	54
11993.MI343H	154
11993.MI403H	69
11993.MI286H	106
11993.MI326H	100
11993.MI145H	129
11993.MI120H	127
11993.MI438H	77
11993.MI080H	145
11993.MI277H	118
11993.MI212H	156
11993.MI061H	146
11993.MI239H	98
11993.MI399H	176
11993.MI004H	154
11993.MI353H	26
11993.MI296H	130
11993.MI413H	154
11993.MI336H	115
11993.MI390H	123
11993.MI230H	89
11993.MI068H	100
11993.MI255H	136
11993.MI102H	153
11993.MI167H	102
11993.MI089H	163
11993.MI314H	126
11993.MI129H	130
11993.MI431H	112
11993.MI371H	123
11993.MI454H	93
11993.MI026H	56
11993.MI186H	109
11993.MI043H	135
11993.MI380H	138
11993.MI220H	122
11993.MI078H	90
11993.MI245H	136
11993.MI112H	85
11993.MI177H	173
11993.MI304H	98
11993.MI099H	100
11993.MI421H	105
11993.MI139H	107
11993.MI361H	143
11993.MI444H	152
11993.MI036H	120
11993.MI196H	87
11993.MI053H	73
11993.MI210H	152
11993.MI048H	77
11993.MI275H	93
11993.MI082H	107
11993.MI122H	149
11993.MI147H	140
11993.MI334H	122
11993.MI411H	137
11993.MI294H	165
11993.MI109H	68
11993.MI351H	54
11993.MI006H	143
11993.MI063H	70
11993.MI200H	109
11993.MI058H	129
11993.MI265H	132
11993.MI092H	124
11993.MI132H	190
11993.MI157H	104
11993.MI324H	82
11993.MI119H	125
11993.MI284H	111
11993.MI401H	166
11993.MI341H	109
11993.MI016H	101
11993.MI073H	54
11993.MI270H	129
11993.MI188H	108
11993.MI215H	102
11993.MI028H	153
11993.MI142H	105
11993.MI127H	133
11993.MI087H	141
11993.MI169H	110
11993.MI354H	61
11993.MI291H	101
11993.MI414H	96
11993.MI331H	163
11993.MI066H	118
11993.MI003H	62
11993.MI260H	107
11993.MI205H	111
11993.MI198H	82
11993.MI038H	134
11993.MI152H	157
11993.MI137H	70
11993.MI097H	151
11993.MI179H	87
11993.MI344H	111
11993.MI404H	153
11993.MI281H	143
11993.MI321H	131
11993.MI076H	124
11993.MI013H	168
11993.MI250H	89
11993.MI235H	128
11993.MI395H	74
11993.MI008H	120
11993.MI162H	103
11993.MI107H	104
11993.MI149H	141
11993.MI451H	138
11993.MI374H	121
11993.MI434H	174
11993.MI311H	99
11993.MI046H	110
11993.MI183H	96
11993.MI023H	80
11993.MI240H	120
11993.MI225H	122
11993.MI018H	129
11993.MI385H	68
11993.MI172H	161
11993.MI117H	138
11993.MI159H	139
11993.MI364H	168
11993.MI424H	166
11993.MI301H	109
11993.MI056H	127
11993.MI193H	104
11993.MI033H	113
11993.MI435H	139
11993.MI310H	126
11993.MI148H	94
11993.MI450H	102
11993.MI375H	123
11993.MI182H	100
11993.MI022H	31
11993.MI047H	140
11993.MI234H	71
11993.MI394H	64
11993.MI009H	75
11993.MI251H	130
11993.MI106H	161
11993.MI163H	87
11993.MI425H	122
11993.MI300H	107
11993.MI440H	114
11993.MI158H	139
11993.MI365H	196
11993.MI192H	82
11993.MI032H	79
11993.MI057H	122
11993.MI224H	95
11993.MI019H	133
11993.MI384H	25
11993.MI241H	114
11993.MI116H	133
11993.MI173H	111
11993.MI415H	79
11993.MI290H	74
11993.MI330H	72
11993.MI168H	131
11993.MI355H	37
11993.MI002H	156
11993.MI067H	162
11993.MI189H	90
