	shannon
11993.MI228H	3.410627588221029
11993.MI015H	4.8389023781873
11993.MI388H	2.300704993910619
11993.MI070H	4.294586980718825
11993.MI287H	5.4747483564785275
11993.MI327H	3.1267243617714846
11993.MI342H	5.353376505639874
11993.MI131H	3.149570093724203
11993.MI091H	5.579047770939247
11993.MI154H	4.393602234738513
11993.MI369H	1.002249093571126
11993.MI203H	4.750158949889227
11993.MI266H	5.953461377826243
11993.MI238H	4.778177911682834
11993.MI398H	5.249605346363487
11993.MI005H	5.260125196338066
11993.MI060H	3.1688046214133565
11993.MI412H	3.5193903829861295
11993.MI297H	3.081142125129453
11993.MI337H	4.7627493090925705
11993.MI352H	3.709113771547866
11993.MI439H	4.690419432651943
11993.MI081H	5.74796348345018
11993.MI144H	5.6236739540247145
11993.MI213H	4.464654348482389
11993.MI276H	5.428931395668486
11993.MI208H	4.641108407044975
11993.MI195H	5.128084016941154
11993.MI035H	4.125700683920552
11993.MI050H	3.323095126884256
11993.MI307H	3.2245725462288855
11993.MI447H	3.2509623473783202
11993.MI111H	6.064716039355218
11993.MI409H	4.683903990660055
11993.MI174H	5.7139137498729555
11993.MI349H	5.820626661110476
11993.MI223H	4.744038398438005
11993.MI383H	4.931388661228905
11993.MI246H	4.806417038065242
11993.MI185H	5.931349297585457
11993.MI218H	2.693301795498072
11993.MI025H	3.7981932306031574
11993.MI040H	5.272415619122814
11993.MI317H	4.783986540920958
11993.MI372H	4.128179010801864
11993.MI419H	5.672289307820282
11993.MI101H	5.928766392749074
11993.MI164H	6.042058040693283
11993.MI359H	1.9683029630317688
11993.MI233H	4.701259807236043
11993.MI393H	3.7283751049101275
11993.MI256H	5.6564908119669335
11993.MI055H	4.5156729343401185
11993.MI030H	3.3357466625283134
11993.MI190H	4.376727745319593
11993.MI367H	4.1119853526224
11993.MI442H	4.542154460048886
11993.MI302H	5.936311505745263
11993.MI427H	5.8965221126151235
11993.MI171H	3.696976704477189
11993.MI329H	5.282474797376
11993.MI114H	4.998403673389765
11993.MI289H	2.8827699079636613
11993.MI243H	5.270669203064616
11993.MI386H	2.8498076032440913
11993.MI226H	3.4529641974549667
11993.MI045H	4.870776638399612
11993.MI278H	5.1334586578155905
11993.MI020H	5.282706656583018
11993.MI180H	4.757634146724967
11993.MI377H	5.066442491247219
11993.MI452H	3.6673321083595916
11993.MI312H	4.890354571695535
11993.MI437H	5.771277929727415
11993.MI161H	4.47617068259333
11993.MI339H	3.276615324887079
11993.MI299H	5.238553252859252
11993.MI104H	5.041664522986046
11993.MI253H	5.638795462879802
11993.MI396H	4.279794770031792
11993.MI236H	5.2196584853428245
11993.MI075H	5.273765307590341
11993.MI248H	2.848094843017153
11993.MI010H	5.4547187089934805
11993.MI347H	4.905059309095267
11993.MI322H	3.185094279057413
11993.MI282H	5.3695937428841
11993.MI449H	5.3562266470531315
11993.MI151H	4.173154454742325
11993.MI309H	5.3719811749411495
11993.MI094H	4.217211574541524
11993.MI134H	5.0290743591694245
11993.MI263H	4.861969206546331
11993.MI206H	4.642176381438555
11993.MI065H	4.833911631706941
11993.MI258H	3.762142601391263
11993.MI357H	4.219191121314631
11993.MI332H	5.35155454965057
11993.MI292H	3.8649733204536396
11993.MI417H	4.637434948130685
11993.MI141H	5.261875824431511
11993.MI459H	5.001045369573749
11993.MI084H	5.185440701453719
11993.MI319H	4.465773797748862
11993.MI124H	5.125036727181619
11993.MI273H	2.44434293550288
11993.MI216H	4.85653611266204
11993.MI308H	4.7369356704987755
11993.MI095H	5.716972508867358
11993.MI135H	4.624771551800221
11993.MI150H	5.43552098229497
11993.MI207H	4.836690714991939
11993.MI262H	5.174210923252766
11993.MI011H	3.9667293894090494
11993.MI074H	5.109994970410321
11993.MI249H	4.857164849133339
11993.MI323H	5.379827648559605
11993.MI283H	5.999050747952883
11993.MI406H	1.4225722733163864
11993.MI346H	3.507355211260431
11993.MI085H	3.6253924659997523
11993.MI318H	5.214489790452991
11993.MI125H	5.500794095285762
11993.MI140H	5.537866201053677
11993.MI458H	4.473327088873775
11993.MI217H	3.903355235352071
11993.MI001H	5.803677700417694
11993.MI064H	5.653704015782248
11993.MI259H	4.010103531419777
11993.MI333H	3.113376804084928
11993.MI416H	6.172435014818666
11993.MI293H	5.623570637140801
11993.MI356H	5.565126384720492
11993.MI328H	5.284376321057405
11993.MI115H	5.010040429120533
11993.MI288H	5.7446255357590665
11993.MI170H	4.992855838376418
11993.MI227H	3.7066872203584853
11993.MI242H	3.428817433862444
11993.MI031H	5.482973981108308
11993.MI191H	4.539958953963468
11993.MI054H	4.9752510033740664
11993.MI269H	3.5247417668695853
11993.MI303H	4.40553553138048
11993.MI426H	3.275153713493323
11993.MI366H	2.3399164200562126
11993.MI338H	5.1356871928003685
11993.MI298H	6.070078955670115
11993.MI105H	5.325821165105784
11993.MI160H	5.253400509037
11993.MI397H	2.957273131727599
11993.MI237H	4.423880748881213
11993.MI252H	1.820586650243029
11993.MI021H	5.794597516943368
11993.MI181H	5.706551683961451
11993.MI044H	5.605083142489692
11993.MI279H	3.0532068849130702
11993.MI313H	3.5061267714625544
11993.MI436H	2.3976725667848973
11993.MI376H	4.2697698597967895
11993.MI453H	5.620937928705096
11993.MI175H	5.6662633952548855
11993.MI348H	5.653339644104494
11993.MI110H	4.245740474505905
11993.MI408H	4.958226954516487
11993.MI247H	4.878807102503006
11993.MI222H	1.722150404128605
11993.MI382H	3.610160552610277
11993.MI051H	4.55085924035073
11993.MI209H	4.335512026071448
11993.MI194H	3.576752256473167
11993.MI034H	5.289525590477877
11993.MI446H	5.273106309259364
11993.MI363H	2.8466008612656366
11993.MI423H	5.714225453139731
11993.MI306H	4.337668766923194
11993.MI165H	4.606366960267563
11993.MI358H	4.921861811923966
11993.MI418H	4.809435904763638
11993.MI100H	5.936256247711567
11993.MI257H	3.571261295646404
11993.MI232H	5.32134431033994
11993.MI392H	4.152960472407904
11993.MI041H	5.0412809368381595
11993.MI184H	5.4096630242375925
11993.MI219H	1.9433884199922282
11993.MI024H	5.173751595138968
11993.MI456H	6.073162318303206
11993.MI373H	3.4919307094890835
11993.MI433H	4.732304497381786
11993.MI316H	4.620770951384191
11993.MI155H	3.9145175182157255
11993.MI368H	4.764894896021279
11993.MI130H	5.181705359339398
11993.MI090H	5.196407869013888
11993.MI267H	5.592347363940577
11993.MI202H	4.47470954172318
11993.MI071H	4.9258232652379395
11993.MI229H	4.111839079946296
11993.MI014H	5.260125200144862
11993.MI389H	1.0408184379428318
11993.MI343H	5.82220041638033
11993.MI403H	2.958178665129364
11993.MI286H	3.784917117309001
11993.MI326H	3.6099828671471417
11993.MI145H	5.660499965181219
11993.MI120H	5.355734750610957
11993.MI438H	2.6293010589112
11993.MI080H	5.492407428891824
11993.MI277H	4.844925606730585
11993.MI212H	5.384301176699366
11993.MI061H	5.748291125473914
11993.MI239H	4.374557795244586
11993.MI399H	6.136242442486855
11993.MI004H	5.684056247608716
11993.MI353H	0.6007042344523923
11993.MI296H	4.942239143169808
11993.MI413H	5.679148317535764
11993.MI336H	4.964393704826873
11993.MI390H	4.5418631161191865
11993.MI230H	4.1287665063587635
11993.MI068H	4.476204655999483
11993.MI255H	4.875571722059669
11993.MI102H	5.448474546370545
11993.MI167H	5.126021441999115
11993.MI089H	5.607682918128805
11993.MI314H	5.470896479513326
11993.MI129H	4.753705674695368
11993.MI431H	4.839591774473777
11993.MI371H	3.712942633354439
11993.MI454H	3.906835863813737
11993.MI026H	2.5402083964224933
11993.MI186H	4.851011516515081
11993.MI043H	5.070463946538605
11993.MI380H	5.102167375772464
11993.MI220H	4.444874841823183
11993.MI078H	4.8949263192371
11993.MI245H	4.58727209257405
11993.MI112H	2.924371616110076
11993.MI177H	6.066013475681374
11993.MI304H	4.917699725130094
11993.MI099H	3.3678810166549953
11993.MI421H	3.4054776401597597
11993.MI139H	5.018084473944533
11993.MI361H	5.124360208023838
11993.MI444H	5.4361098400133745
11993.MI036H	4.995051798483298
11993.MI196H	4.307309790776329
11993.MI053H	4.519516827201085
11993.MI210H	5.353561965025859
11993.MI048H	3.162435957182401
11993.MI275H	3.801804170641174
11993.MI082H	4.232423418707616
11993.MI122H	5.618173693305182
11993.MI147H	5.452398767896614
11993.MI334H	5.080236905183675
11993.MI411H	4.998038692340079
11993.MI294H	5.842622677432682
11993.MI109H	4.231120599316713
11993.MI351H	1.3609501167450353
11993.MI006H	5.802380917107071
11993.MI063H	4.248608092534169
11993.MI200H	4.8092028769291595
11993.MI058H	4.613455760115673
11993.MI265H	5.547745050107031
11993.MI092H	5.2202578715623575
11993.MI132H	6.117026267404705
11993.MI157H	4.43849063552151
11993.MI324H	3.6060001193068167
11993.MI119H	5.3125893166298495
11993.MI284H	4.382105796311302
11993.MI401H	5.5299790343091235
11993.MI341H	3.45332464676847
11993.MI016H	4.064091990266147
11993.MI073H	2.7117505551525594
11993.MI270H	3.9770001389997325
11993.MI188H	5.060684953513379
11993.MI215H	3.8668697174068574
11993.MI028H	5.088251855400356
11993.MI142H	5.139480691922662
11993.MI127H	4.684074045634469
11993.MI087H	5.007675233382008
11993.MI169H	5.0325000327413685
11993.MI354H	1.853090141316802
11993.MI291H	4.436811426996694
11993.MI414H	3.2398951421121054
11993.MI331H	5.41712731802835
11993.MI066H	5.079025765244413
11993.MI003H	3.8173523902576534
11993.MI260H	4.305602676405209
11993.MI205H	4.30068002228824
11993.MI198H	4.093060092018747
11993.MI038H	5.186419699605521
11993.MI152H	5.860960903296664
11993.MI137H	3.031368966070147
11993.MI097H	5.307733494270182
11993.MI179H	3.8530167167168554
11993.MI344H	3.9584387314831155
11993.MI404H	5.187320481096768
11993.MI281H	4.559547810883965
11993.MI321H	4.087375354521726
11993.MI076H	5.691701717015917
11993.MI013H	5.92080255751483
11993.MI250H	3.1908909451405467
11993.MI235H	5.292419593303355
11993.MI395H	2.5171698494362755
11993.MI008H	5.037615345766761
11993.MI162H	5.238296375271826
11993.MI107H	4.755879642701501
11993.MI149H	5.715100117302598
11993.MI451H	5.567983267471006
11993.MI374H	5.000041417005374
11993.MI434H	5.62411532474709
11993.MI311H	4.512453915475649
11993.MI046H	4.766562800656373
11993.MI183H	4.2702175077366125
11993.MI023H	3.049257793160794
11993.MI240H	4.890627830552941
11993.MI225H	3.963222011596818
11993.MI018H	5.317076870017579
11993.MI385H	2.5480003445019643
11993.MI172H	5.840391172890894
11993.MI117H	5.203554012058704
11993.MI159H	5.170329385076781
11993.MI364H	5.459767695272353
11993.MI424H	5.721025437216759
11993.MI301H	4.5598270870555835
11993.MI056H	5.393325039954553
11993.MI193H	4.649031043444336
11993.MI033H	4.926366979168148
11993.MI435H	5.557727071316166
11993.MI310H	5.4391538631799605
11993.MI148H	4.756766053495661
11993.MI450H	4.634827383031714
11993.MI375H	3.8477957195416916
11993.MI182H	4.3331966776111885
11993.MI022H	1.2581869569756676
11993.MI047H	5.429710725707956
11993.MI234H	3.646461213650325
11993.MI394H	1.3374835222147803
11993.MI009H	3.7516054223863247
11993.MI251H	5.414419026801639
11993.MI106H	5.399961397952147
11993.MI163H	3.4467616510210948
11993.MI425H	4.463377981768929
11993.MI300H	3.842021196295319
11993.MI440H	3.5602240560399214
