Population	Metric	Test	pval
Chn	Richness	age_young	0.41459523874141
Chn	Richness	age_middle	0.135054002489978
Chn	Shannon	age_young	0.659850046799425
Chn	Shannon	age_middle	0.00273790605238611
Chn	Richness	age_sex_young	0.120610433524745
Chn	Richness	age_sex_middle	0.0400230692466745
Chn	Richness	age_sex_interaction_young	0.740210840273419
Chn	Richness	age_sex_interaction_middle	0.459359342245178
Chn	Shannon	age_sex_young	0.0755147889063935
Chn	Shannon	age_sex_middle	0.0400230692466745
Chn	Shannon	age_sex_interaction_young	0.168605010585507
Chn	Shannon	age_sex_interaction_middle	0.396185738085824
