Population	Metric	Test	pval
Col	Richness	age_young	0.00318102392239585
Col	Richness	age_middle	0.773445886497206
Col	Shannon	age_young	0.00160829573104573
Col	Shannon	age_middle	0.523802447878044
Col	Richness	age_sex_young	0.00631299068688677
Col	Richness	age_sex_middle	0.169248863352348
Col	Shannon	age_sex_young	0.293635869174587
Col	Shannon	age_sex_middle	0.169248863352348
Col	Richness	age_sex_interaction_young	0.912835064720807
Col	Richness	age_sex_interaction_middle	0.815527633347948
Col	Shannon	age_sex_interaction_young	0.706740554794861
Col	Shannon	age_sex_interaction_middle	0.655163984707019
