Population	Metric	Test	pval
US	Richness	age_young	2.74399732712507e-07
US	Richness	age_middle	0.404233927811843
US	Shannon	age_young	0.00194175061698558
US	Shannon	age_middle	0.35863736993356
US	Richness	age_sex_young	0.0666379344120231
US	Richness	age_sex_middle	0.48410796184993
US	Richness	age_sex_interaction_young	0.15301883829407
US	Richness	age_sex_interaction_middle	0.290511107312594
US	Shannon	age_sex_young	0.425087324793546
US	Shannon	age_sex_middle	0.48410796184993
US	Shannon	age_sex_interaction_young	0.0213287688172999
US	Shannon	age_sex_interaction_middle	0.908798103689009
UK	Richness	age_young	0.000724497418319803
UK	Richness	age_middle	0.111395901751069
UK	Shannon	age_young	0.00342029381890444
UK	Shannon	age_middle	0.205977469880909
UK	Richness	age_sex_young	0.00301996348201413
UK	Richness	age_sex_middle	0.235969773778171
UK	Richness	age_sex_interaction_young	0.0961425820290776
UK	Richness	age_sex_interaction_middle	0.209288173569887
UK	Shannon	age_sex_young	0.00574063166025164
UK	Shannon	age_sex_middle	0.235969773778171
UK	Shannon	age_sex_interaction_young	0.0375535679538524
UK	Shannon	age_sex_interaction_middle	0.721142237119896
